ensembl_id,gene_name,baseMean,TP317_300_vs_CONTR_log2FC,TP317_300_vs_CONTR_pvalue,TP317_300_vs_CONTR_padj
ENSMUSG00000026879,Gsn,19956.320547973235,0.03664983045198012,0.6312961613255813,0.9896287216067934
ENSMUSG00000022421,Nptxr,20692.446516273154,0.2311776498265198,0.40190958270337396,0.9896287216067934
ENSMUSG00000060938,Rpl26,20027.291649265564,-0.22042826036491103,0.24512611067697454,0.9896287216067934
ENSMUSG00000039218,Srrm2,20661.13052535755,0.21061197513679594,0.5981489673582767,0.9896287216067934
ENSMUSG00000030208,Emp1,19715.09736540062,-0.04658512995288425,0.6458544621681815,0.9896287216067934
ENSMUSG00000040010,Slc7a5,20422.7424689701,0.1765682361902102,0.44214606718006366,0.9896287216067934
ENSMUSG00000020585,Laptm4a,20185.56838179018,-0.38010863013113994,0.05143651085073473,0.9896287216067934
ENSMUSG00000025508,Rplp2,19548.909672216243,-0.17280840833296535,0.365806261468965,0.9896287216067934
ENSMUSG00000007836,Hnrnpa0,19990.243524040943,0.3622718145700577,0.08523125962194923,0.9896287216067934
ENSMUSG00000061904,Slc25a3,19734.042793862744,-0.013627952490721124,0.8737463722159712,0.9896287216067934
ENSMUSG00000025980,Hspd1,19560.667217734946,0.18034672601727247,0.3580076520676718,0.9896287216067934
ENSMUSG00000028234,Rps20,19621.572455764774,-0.2017287867814881,0.23304004484108076,0.9896287216067934
ENSMUSG00000041959,S100a10,19184.016891362637,-0.182256552855818,0.4471527649439466,0.9896287216067934
ENSMUSG00000029713,Gnb2,19606.1168740019,0.11351112430903497,0.2732760738412573,0.9896287216067934
ENSMUSG00000073702,Rpl31,19419.98336771006,-0.08969652274334702,0.524789230269081,0.9896287216067934
ENSMUSG00000049775,Tmsb4x,18578.76220198684,-0.24823373879936436,0.19293492010340885,0.9896287216067934
ENSMUSG00000029718,Pcolce,19627.910266614548,-0.070209566434191,0.41060014451959137,0.9896287216067934
ENSMUSG00000006304,Arpc2,19509.980631252733,0.03390080458007968,0.6409260870543929,0.9896287216067934
ENSMUSG00000061232,H2-K1,18792.409696577564,0.13994917347796249,0.46271307915826254,0.9896287216067934
ENSMUSG00000034220,Gpc1,19835.275252278574,0.16282187274677445,0.1880496902326192,0.9896287216067934
ENSMUSG00000026341,Actr3,19294.677445755853,-0.12374553592980599,0.41586365850551754,0.9896287216067934
ENSMUSG00000025351,Cd63,18944.519948703924,-0.2268933475120211,0.28726630186384694,0.9896287216067934
ENSMUSG00000047126,Cltc,19624.54481703799,0.14945548686766708,0.5205206997307302,0.9896287216067934
ENSMUSG00000046330,Rpl37a,18592.510860843915,-0.3617066236093909,0.12180997701762669,0.9896287216067934
ENSMUSG00000023010,Tmbim6,18936.504278534067,0.08433745317021121,0.25514272545660255,0.9896287216067934
ENSMUSG00000051391,Ywhag,18668.92811190239,0.14013542097737008,0.2794572556492657,0.9896287216067934
ENSMUSG00000030536,Iqgap1,19173.957852845237,0.16043501779488625,0.4591961995404177,0.9896287216067934
ENSMUSG00000026131,Dst,19295.758350928914,0.16729963710917425,0.781469321400581,0.9896287216067934
